DATE,SPASTT01CHM661N
1975-06-01,7.94559127527071
1975-07-01,8.15286756940821
1975-08-01,7.7232949598189
1975-09-01,7.36281444827543
1975-10-01,7.94859527953357
1975-11-01,8.45326799569444
1975-12-01,8.69358833672342
1976-01-01,8.99098475874678
1976-02-01,8.71762037082632
1976-03-01,8.90086463086091
1976-04-01,8.73864840066635
1976-05-01,8.58544418326038
1976-06-01,8.85880857118084
1976-07-01,8.91588465217522
1976-08-01,8.91288064791236
1976-09-01,8.76568443903211
1976-10-01,8.44425598290585
1976-11-01,8.53738011505458
1976-12-01,9.117152937787
1977-01-01,9.26434914666725
1977-02-01,9.19225304435856
1977-03-01,9.2523331296158
1977-04-01,9.24632512109008
1977-05-01,8.8618125754437
1977-06-01,8.96394872038102
1977-07-01,8.97596473743247
1977-08-01,9.27035715519297
1977-09-01,9.62482965821072
1977-10-01,9.57376158574206
1977-11-01,9.60980963689641
1977-12-01,9.57976959426779
1978-01-01,9.95527012712557
1978-02-01,9.52569751753626
1978-03-01,9.38450931718174
1978-04-01,8.93090467348954
1978-05-01,9.07209287384406
1978-06-01,9.34545726176453
1978-07-01,9.30340120208446
1978-08-01,9.40854135128464
1978-09-01,9.01501679284968
1978-10-01,8.7506644177178
1978-11-01,9.00600478006109
1978-12-01,9.24932912535294
1979-01-01,10.1535344084745
1979-02-01,9.97329415270274
1979-03-01,10.0964583274801
1979-04-01,10.2226265065203
1979-05-01,9.85012997792539
1979-06-01,9.90420205465691
1979-07-01,9.99131817827992
1979-08-01,10.1985944724174
1979-09-01,10.3457906812977
1979-10-01,10.0724262933772
1979-11-01,9.91621807170836
1979-12-01,9.97329415270274
1980-01-01,10.2917186045661
1980-02-01,10.0483942592743
1980-03-01,9.22229308698718
1980-04-01,9.58878160705637
1980-05-01,9.63083766673644
1980-06-01,9.90119805039405
1980-07-01,10.1685544297888
1980-08-01,10.1955904681546
1980-09-01,10.1745624383145
1980-10-01,10.3217586471948
1980-11-01,10.1835744511031
1980-12-01,10.2797025875147
1981-01-01,9.88017002055402
1981-02-01,10.0183542166457
1981-03-01,9.92222608023409
1981-04-01,9.69692576051942
1981-05-01,9.25533713387866
1981-06-01,9.47462944506761
1981-07-01,9.46561743227902
1981-08-01,9.18624503583283
1981-09-01,8.46528401274588
1981-10-01,8.37215988059715
1981-11-01,8.71161236230059
1981-12-01,8.74165240492921
1982-01-01,8.55240013636889
1982-02-01,8.4562719999573
1982-03-01,8.44425598290585
1982-04-01,8.56441615342034
1982-05-01,8.55540414063175
1982-06-01,8.17089159498538
1982-07-01,8.12282752677959
1982-08-01,8.27002373565984
1982-09-01,8.35413585501998
1982-10-01,8.87382859249515
1982-11-01,9.17122501451852
1982-12-01,9.59779361984496
1983-01-01,9.8020659097196
1983-02-01,10.1475263999488
1983-03-01,10.2586745576747
1983-04-01,10.5470589669094
1983-05-01,10.2766985832518
1983-06-01,10.4569388390236
1983-07-01,10.8023993292527
1983-08-01,10.5650829924866
1983-09-01,10.535042949858
1983-10-01,10.8444553889328
1983-11-01,11.2860440155736
1983-12-01,11.9168849107746
1984-01-01,11.865816838306
1984-02-01,11.538380373654
1984-03-01,11.5203563480768
1984-04-01,11.8598088297803
1984-05-01,11.3250960709908
1984-06-01,11.2079399047391
1984-07-01,11.0757637171732
1984-08-01,11.625496497277
1984-09-01,11.7516646763172
1984-10-01,11.8988608851975
1984-11-01,11.952932961929
1984-12-01,12.1722252731179
1985-01-01,12.9262303430964
1985-02-01,12.9052023132563
1985-03-01,12.9052023132563
1985-04-01,13.3287669143199
1985-05-01,13.8033995878521
1985-06-01,14.5423846365163
1985-07-01,14.7646809519681
1985-08-01,15.638846192461
1985-09-01,14.9449212077398
1985-10-01,16.5340394627939
1985-11-01,17.6485250443158
1985-12-01,19.1084711160669
1986-01-01,18.2222898585225
1986-02-01,17.9158814237106
1986-03-01,19.2436513078957
1986-04-01,19.7543320325823
1986-05-01,19.4389115849818
1986-06-01,19.084439081964
1986-07-01,17.6815690912073
1986-08-01,19.4899796574504
1986-09-01,18.7269625746834
1986-10-01,19.6431838748564
1986-11-01,20.3371088595776
1986-12-01,20.3551328851548
1987-01-01,19.6972559515879
1987-02-01,18.8591387622493
1987-03-01,19.0874430862269
1987-04-01,18.6758945022148
1987-05-01,18.4475901782372
1987-06-01,19.1415151629584
1987-07-01,20.4903130769836
1987-08-01,20.6254932688124
1987-09-01,21.4936505007796
1987-10-01,16.2096070024048
1987-11-01,14.4132124532132
1987-12-01,14.0377119203554
1988-01-01,13.9656158180467
1988-02-01,15.1221574592487
1988-03-01,14.7706889604938
1988-04-01,14.875829109694
1988-05-01,14.7586729434423
1988-06-01,15.5216900262094
1988-07-01,15.7680183757641
1988-08-01,15.8521304951242
1988-09-01,16.2967231260278
1988-10-01,16.75032776972
1988-11-01,16.4649473647481
1988-12-01,16.816415863503
1989-01-01,16.9597398702536
1989-02-01,17.0351164918992
1989-03-01,17.3743112893042
1989-04-01,18.033856728703
1989-05-01,17.6381294650637
1989-06-01,18.7876229451587
1989-07-01,19.9371164252537
1989-08-01,21.4446488581651
1989-09-01,21.2750514594626
1989-10-01,20.3328436888929
1989-11-01,19.5602333170258
1989-12-01,20.0878696685448
1990-01-01,20.0690255131334
1990-02-01,19.8805839590195
1990-03-01,19.3529476075005
1990-04-01,18.7876229451587
1990-05-01,19.5979216278486
1990-06-01,20.672038486298
1990-07-01,20.9547008174689
1990-08-01,18.1469216611713
1990-09-01,16.7336100053169
1990-10-01,16.3190385862662
1990-11-01,15.7160256131017
1990-12-01,15.9986879442726
1991-01-01,15.4145191265194
1991-02-01,17.3177788230701
1991-03-01,18.2976749044625
1991-04-01,18.9572203438612
1991-05-01,19.0702852763296
1991-06-01,19.3152592966777
1991-07-01,19.3529476075005
1991-08-01,19.3529476075005
1991-09-01,19.1645060533866
1991-10-01,19.0137528100954
1991-11-01,18.9760644992726
1991-12-01,18.1280775057599
1992-01-01,19.4094800737347
1992-02-01,19.9371164252537
1992-03-01,20.1255579793676
1992-04-01,20.3705319997157
1992-05-01,21.2373631486398
1992-06-01,20.7851034187663
1992-07-01,20.2009346010132
1992-08-01,19.6732982494942
1992-09-01,20.1067138239562
1992-10-01,20.2951553780701
1992-11-01,20.3893761551271
1992-12-01,21.2185189932284
1993-01-01,22.2172592300322
1993-02-01,22.8014280477854
1993-03-01,23.3290643993044
1993-04-01,23.5928825750639
1993-05-01,24.0262981495259
1993-06-01,25.2700124066778
1993-07-01,26.0614669339564
1993-08-01,26.909453927469
1993-09-01,26.5325708192412
1993-10-01,28.4169863603805
1993-11-01,29.7926097054121
1993-12-01,31.4697395370261
1994-01-01,33.4483758552224
1994-02-01,33.5237524768679
1994-03-01,31.7712460236084
1994-04-01,31.5262720032603
1994-05-01,30.3390902123425
1994-06-01,30.0375837257603
1994-07-01,28.8504019348425
1994-08-01,29.1707525768362
1994-09-01,29.4157265971843
1994-10-01,28.4546746712032
1994-11-01,28.8880902456653
1994-12-01,29.1519084214248
1995-01-01,28.8127136240197
1995-02-01,29.0953759551906
1995-03-01,28.0777915629754
1995-04-01,28.3981422049691
1995-05-01,30.1506486582286
1995-06-01,31.2436096720894
1995-07-01,31.65818109114
1995-08-01,31.846622645254
1995-09-01,33.1468693686401
1995-10-01,33.8064148080388
1995-11-01,34.6544018015515
1995-12-01,35.8227394370579
1996-01-01,36.2426946313096
1996-02-01,36.3046108727448
1996-03-01,39.5296542779012
1996-04-01,39.5840328571719
1996-05-01,39.0441478046355
1996-06-01,39.49829195005
1996-07-01,39.666947140982
1996-08-01,39.5736233457226
1996-09-01,39.7342471576183
1996-10-01,40.8123439016905
1996-11-01,41.4472713364598
1996-12-01,41.7586483916466
1997-01-01,43.6242197773745
1997-02-01,47.6380248800012
1997-03-01,48.9194274479759
1997-04-01,49.7297261306658
1997-05-01,54.1392584969318
1997-06-01,57.4935181601597
1997-07-01,61.6580765060775
1997-08-01,60.1316999177547
1997-09-01,59.2648687688306
1997-10-01,60.9796869112674
1997-11-01,59.0575830593053
1997-12-01,63.3917388039256
1998-01-01,66.2560504264574
1998-02-01,72.0977386039892
1998-03-01,76.4318943486095
1998-04-01,78.4293748222172
1998-05-01,79.6919332347805
1998-06-01,79.5788683023121
1998-07-01,84.8552318175021
1998-08-01,78.5047514438628
1998-09-01,67.4809205281979
1998-10-01,62.2234011684193
1998-11-01,71.7208554957613
1998-12-01,72.3742765846514
1999-01-01,75.8841889715774
1999-02-01,74.0821223895859
1999-03-01,75.0709366559683
1999-04-01,76.6087467471454
1999-05-01,75.3601578838717
1999-06-01,75.4630477261841
1999-07-01,75.2985896939869
1999-08-01,74.5651237208312
1999-09-01,75.8521795354294
1999-10-01,74.8242186090369
1999-11-01,78.601574598782
1999-12-01,79.7816674068756
2000-01-01,79.6201181585076
2000-02-01,77.6208474901359
2000-03-01,79.2864258544827
2000-04-01,81.7700478493935
2000-05-01,84.2757175061356
2000-06-01,85.0355138523229
2000-07-01,87.2074912050401
2000-08-01,90.8443001345064
2000-09-01,88.8121275707864
2000-10-01,86.9139369520414
2000-11-01,89.5842291504574
2000-12-01,88.3516141008428
2001-01-01,87.8186636974978
2001-02-01,86.3045169660369
2001-03-01,79.3080024124288
2001-04-01,78.2628867091575
2001-05-01,82.1784383854692
2001-06-01,80.0185401363708
2001-07-01,75.3901329050015
2001-08-01,73.1101408534662
2001-09-01,63.6702365767506
2001-10-01,64.7720166553439
2001-11-01,68.1513202011136
2001-12-01,68.0802212027464
2002-01-01,68.0493356320272
2002-02-01,67.2516625334629
2002-03-01,70.329949540691
2002-04-01,71.443488372261
2002-05-01,70.8759589437361
2002-06-01,65.4399854322116
2002-07-01,58.292566882069
2002-08-01,56.9861581198633
2002-09-01,52.9150856289414
2002-10-01,51.6170625158939
2002-11-01,53.9462189688974
2002-12-01,52.2320415277447
2003-01-01,50.4981531000316
2003-02-01,45.7887536887042
2003-03-01,44.091366390023
2003-04-01,48.3319043705595
2003-05-01,49.407811423773
2003-06-01,52.3009357599287
2003-07-01,53.1521262598613
2003-08-01,55.2531930557654
2003-09-01,57.2068043355753
2003-10-01,56.6079936090675
2003-11-01,57.6494347020335
2003-12-01,59.0583745138326
2004-01-01,61.7771150358113
2004-02-01,63.9015485844255
2004-03-01,62.63041608115
2004-04-01,63.665996641783
2004-05-01,62.7353968709468
2004-06-01,62.6060882765139
2004-07-01,60.9064208350279
2004-08-01,59.5256718797243
2004-09-01,60.8008181881024
2004-10-01,60.0347655823185
2004-11-01,61.480828380278
2004-12-01,62.1125410021341
2005-01-01,63.481625425238
2005-02-01,65.1960478404111
2005-03-01,66.0568488596035
2005-04-01,65.9253543431428
2005-05-01,66.4810496420694
2005-06-01,68.9885094935756
2005-07-01,71.1407947038878
2005-08-01,73.1068619704246
2005-09-01,74.8370569436771
2005-10-01,76.7131056798137
2005-11-01,80.780070144856
2005-12-01,83.0834289491013
2006-01-01,85.3439549880966
2006-02-01,87.2961906445615
2006-03-01,88.5518520962443
2006-04-01,89.5852844231604
2006-05-01,87.0159780535941
2006-06-01,82.8232853836471
2006-07-01,85.5760396061433
2006-08-01,88.9119450620006
2006-09-01,91.8669347603719
2006-10-01,95.6513688033311
2006-11-01,97.1947993523012
2006-12-01,97.4259794508882
2007-01-01,101.578910952917
2007-02-01,104.30219291635
2007-03-01,100.391955291864
2007-04-01,104.743956451659
2007-05-01,106.673221082678
2007-06-01,105.234884388437
